	investigation type	project name	geographic location (longitude)	geographic location (country and/or sea,region)	collection date	environment (biome)	environment (feature)	environment (material)	environmental package	sequencing method	geographic location (latitude)	ENA checklist	sample-desc	sample-name
ERR2539455	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-02	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 1 (abx=y cohouse=n) baseline	1
ERR2539456	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-02	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 2 (abx=y cohoused=n) baseline	2
ERR2539457	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-02	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 3 (abx=y cohoused=n) baseline	3
ERR2539458	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-02	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 4 (abx=y cohoused=y with mouse 18) baseline	4
ERR2539459	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-02	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 5 (abx=n(abx=y cohoused=y with mouse 13) baseline	5
ERR2539460	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-02	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 6 (abx=y cohoused=n) baseline	6
ERR2539461	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-02	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 7 (abx=y cohoused=y with mouse 17) baseline	7
ERR2539462	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-02	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 8 (abx=n cohoused=n) baseline	8
ERR2539463	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-02	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 9 (abx=n cohoused=y with mouse 11) baseline	9
ERR2539464	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-02	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 10 (abx=y cohoused=y with mouse 14) baseline	10
ERR2539700	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-08	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 7 (abx=y cohoused=y with mouse 17) hour 120	7.144
ERR2539471	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-02	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 17 (abx=n cohoused=y with mouse 7) baseline	17
ERR2539521	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 14 (abx=n cohoused=y with mouse 10) hour 12	14.012
ERR2539522	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 15 (abx=n cohoused=n) hour 12	15.012
ERR2540288	metagenome	bioreactor_abx_redox	-78.93936	USA	2016-06-28	fecal environment	feces	feces	host-associated	Illumina	36.00341	ERC000013	run 2 vessel 2 (aerobic, control) day -1	2.2.1
ERR2539496	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-02	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 6 (abx=y cohoused=n) hour 8	6.008
ERR2540293	metagenome	bioreactor_abx_redox	-78.93936	USA	2016-06-29	fecal environment	feces	feces	host-associated	Illumina	36.00341	ERC000013	run 2 vessel 3 (anaerobic, control) day 0	2.3.2
